Rank,VP (linear),"VP % (linear) (i)",VP (log),"VP % (log) (ii)","VP % (effective) (iii) = (i)*(1 - G^4) + (ii)*G^4","% Change
(iii) vs (i)"
1,3811000,1.9055%,6.58,1.0515%,1.9023%,-0.17%
2,3763000,1.8815%,6.58,1.0507%,1.8784%,-0.17%
3,3732000,1.8660%,6.57,1.0501%,1.8629%,-0.17%
4,3702000,1.8510%,6.57,1.0495%,1.8480%,-0.16%
5,3672000,1.8360%,6.56,1.0490%,1.8330%,-0.16%
6,3642000,1.8210%,6.56,1.0484%,1.8181%,-0.16%
7,3612000,1.8060%,6.56,1.0478%,1.8031%,-0.16%
8,3583000,1.7915%,6.55,1.0473%,1.7887%,-0.16%
9,3554000,1.7770%,6.55,1.0467%,1.7742%,-0.16%
10,3525000,1.7625%,6.55,1.0461%,1.7598%,-0.15%
11,3244000,1.6220%,6.51,1.0404%,1.6198%,-0.14%
12,3218000,1.6090%,6.51,1.0398%,1.6068%,-0.13%
13,3192000,1.5960%,6.50,1.0392%,1.5939%,-0.13%
14,3166000,1.5830%,6.50,1.0387%,1.5809%,-0.13%
15,3140000,1.5700%,6.50,1.0381%,1.5680%,-0.13%
16,3114000,1.5570%,6.49,1.0375%,1.5550%,-0.13%
17,3089000,1.5445%,6.49,1.0370%,1.5426%,-0.12%
18,3064000,1.5320%,6.49,1.0364%,1.5301%,-0.12%
19,3039000,1.5195%,6.48,1.0358%,1.5177%,-0.12%
20,3014000,1.5070%,6.48,1.0353%,1.5052%,-0.12%
21,2773000,1.3865%,6.44,1.0295%,1.3851%,-0.10%
22,2750000,1.3750%,6.44,1.0289%,1.3737%,-0.10%
23,2728000,1.3640%,6.44,1.0283%,1.3627%,-0.09%
24,2706000,1.3530%,6.43,1.0278%,1.3518%,-0.09%
25,2684000,1.3420%,6.43,1.0272%,1.3408%,-0.09%
26,2662000,1.3310%,6.43,1.0266%,1.3298%,-0.09%
27,2640000,1.3200%,6.42,1.0261%,1.3189%,-0.08%
28,2619000,1.3095%,6.42,1.0255%,1.3084%,-0.08%
29,2598000,1.2990%,6.41,1.0250%,1.2980%,-0.08%
30,2577000,1.2885%,6.41,1.0244%,1.2875%,-0.08%
31,2371000,1.1855%,6.37,1.0186%,1.1849%,-0.05%
32,2352000,1.1760%,6.37,1.0181%,1.1754%,-0.05%
33,2333000,1.1665%,6.37,1.0175%,1.1659%,-0.05%
34,2314000,1.1570%,6.36,1.0169%,1.1565%,-0.05%
35,2295000,1.1475%,6.36,1.0163%,1.1470%,-0.04%
36,2276000,1.1380%,6.36,1.0158%,1.1375%,-0.04%
37,2258000,1.1290%,6.35,1.0152%,1.1286%,-0.04%
38,2240000,1.1200%,6.35,1.0147%,1.1196%,-0.04%
39,2222000,1.1110%,6.35,1.0141%,1.1106%,-0.03%
40,2204000,1.1020%,6.34,1.0135%,1.1017%,-0.03%
41,2028000,1.0140%,6.31,1.0078%,1.0140%,-0.00%
42,2012000,1.0060%,6.30,1.0072%,1.0060%,0.00%
43,1996000,0.9980%,6.30,1.0067%,0.9980%,0.00%
44,1980000,0.9900%,6.30,1.0061%,0.9901%,0.01%
45,1964000,0.9820%,6.29,1.0055%,0.9821%,0.01%
46,1948000,0.9740%,6.29,1.0050%,0.9741%,0.01%
47,1932000,0.9660%,6.29,1.0044%,0.9661%,0.02%
48,1916000,0.9580%,6.28,1.0038%,0.9582%,0.02%
49,1901000,0.9505%,6.28,1.0033%,0.9507%,0.02%
50,1886000,0.9430%,6.28,1.0027%,0.9432%,0.02%
