Rank	Name	VP (linear)	"VP % (linear) (i)"	VP (log)	"VP % (log) (ii)"	"VP % (effective)  (iii) = (i)*(1 - G^3) + (ii)*G^3"	"% Change
(iii) vs (i)"
1	🐠stake.fish | bitfish	"13,183,116"	7.7371%	7.12	1.2350%	5.6926%	-26.42%
2	Polychain Labs	"12,983,827"	7.6201%	7.11	1.2338%	5.6120%	-26.35%
3	Sikka	"12,719,264"	7.4648%	7.10	1.2323%	5.5051%	-26.25%
4	IØN	"10,183,728"	5.9767%	7.01	1.2155%	4.4797%	-25.05%
5	SparkPool	"9,004,945"	5.2849%	6.95	1.2062%	4.0025%	-24.27%
6	Certus One	"8,597,939"	5.0461%	6.93	1.2028%	3.8376%	-23.95%
7	Cosmostation	"7,838,384"	4.6003%	6.89	1.1958%	3.5298%	-23.27%
8	iqlusion	"6,071,541"	3.5633%	6.78	1.1766%	2.8129%	-21.06%
9	Figment Networks	"5,808,153"	3.4088%	6.76	1.1732%	2.7058%	-20.62%
10	Forbole	"4,744,667"	2.7846%	6.68	1.1580%	2.2731%	-18.37%
11	jackzampolin	"4,647,281"	2.7274%	6.67	1.1564%	2.2335%	-18.11%
12	validator.network | Security first. Highly available.	"4,077,210"	2.3929%	6.61	1.1466%	2.0010%	-16.38%
13	Chorus One	"3,915,218"	2.2978%	6.59	1.1435%	1.9349%	-15.80%
14	B-Harvest	"3,904,919"	2.2918%	6.59	1.1433%	1.9307%	-15.76%
15	CoinoneNode	"3,731,337"	2.1899%	6.57	1.1399%	1.8597%	-15.08%
16	Cryptium Labs	"2,967,777"	1.7418%	6.47	1.1226%	1.5471%	-11.18%
17	ATEAM	"2,778,696"	1.6308%	6.44	1.1177%	1.4695%	-9.89%
18	Staked	"2,193,676"	1.2874%	6.34	1.0999%	1.2285%	-4.58%
19	Staking Fund: the Never Jailed Crew	"1,964,145"	1.1527%	6.29	1.0915%	1.1335%	-1.67%
20	BouBouNode	"1,941,026"	1.1392%	6.29	1.0906%	1.1239%	-1.34%
21	P2P.ORG - P2P Validator	"1,857,668"	1.0902%	6.27	1.0873%	1.0893%	-0.08%
22	Castlenode	"1,835,105"	1.0770%	6.26	1.0864%	1.0800%	0.27%
