Rank	VP (linear)	"VP % (linear) (i)"	VP (log)	"VP % (log) (ii)"	"VP % (effective) (iii) = (i)*(1 - G^3) + (ii)*G^3"	"% Change
(iii) vs (i)"
1	"6,426,000"	3.2130%	6.81	1.1126%	2.9949%	-6.79%
2	"6,242,000"	3.1210%	6.80	1.1105%	2.9123%	-6.69%
3	"6,133,000"	3.0665%	6.79	1.1093%	2.8633%	-6.63%
4	"6,026,000"	3.0130%	6.78	1.1080%	2.8152%	-6.56%
5	"5,921,000"	2.9605%	6.77	1.1068%	2.7680%	-6.50%
6	"5,818,000"	2.9090%	6.76	1.1055%	2.7218%	-6.44%
7	"5,717,000"	2.8585%	6.76	1.1043%	2.6764%	-6.37%
8	"5,617,000"	2.8085%	6.75	1.1030%	2.6314%	-6.30%
9	"5,519,000"	2.7595%	6.74	1.1018%	2.5874%	-6.24%
10	"5,423,000"	2.7115%	6.73	1.1005%	2.5442%	-6.17%
11	"4,546,000"	2.2730%	6.66	1.0880%	2.1500%	-5.41%
12	"4,467,000"	2.2335%	6.65	1.0868%	2.1144%	-5.33%
13	"4,389,000"	2.1945%	6.64	1.0855%	2.0794%	-5.25%
14	"4,313,000"	2.1565%	6.63	1.0843%	2.0452%	-5.16%
15	"4,238,000"	2.1190%	6.63	1.0830%	2.0114%	-5.08%
16	"4,164,000"	2.0820%	6.62	1.0818%	1.9782%	-4.99%
17	"4,092,000"	2.0460%	6.61	1.0805%	1.9458%	-4.90%
18	"4,021,000"	2.0105%	6.60	1.0793%	1.9138%	-4.81%
19	"3,951,000"	1.9755%	6.60	1.0780%	1.8823%	-4.72%
20	"3,882,000"	1.9410%	6.59	1.0768%	1.8513%	-4.62%
21	"3,254,000"	1.6270%	6.51	1.0643%	1.5686%	-3.59%
22	"3,198,000"	1.5990%	6.50	1.0630%	1.5434%	-3.48%
23	"3,143,000"	1.5715%	6.50	1.0618%	1.5186%	-3.37%
24	"3,088,000"	1.5440%	6.49	1.0606%	1.4938%	-3.25%
